Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,amazon_product_page (product.metafields.custom.amazon_product_page),fragrantica_link (product.metafields.custom.fragrantica_link),Product_Compliance_Single_Line (product.metafields.custom.product_compliance_single_linee),Product Specification Image (product.metafields.custom.product_specification_image),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,"Millennial Perfumer™ – The One | Dollce & Gaabbana The One Type (Profile Match) | Extrait de Parfum | Fresh Citrus & Spicy Blend with Grapefruit, Cardamom, Ginger, Amber & Tobacco | Long-Lasting Warm & Sophisticated Masculine Fragrance, 50ml","<p><meta charset=""utf-8""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0905/8068/0994/files/Screenshot_2024-10-13_at_12.38.48_PM.png?v=1728803344"" width=""573"" height=""114""><br><meta charset=""utf-8""></p>",Millennial Perfumer,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Fine Fragrance,Dollce & Gaabbana,true,Quantity,50ml,,,,,,,,F085,0.0,shopify,deny,manual,699.00,1299.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/1Large_90b9a9d3-6870-43a1-aacd-b8d9aa5938a8.png?v=1786366271,1,"",false,The One — Dolce & Gabbana The One Type | EDP | Millennial Perfumer™ India,"Looking for Dolce & Gabbana The One Inspired Version in India? Shop The One — our premium EDP profile match. Fresh Citrus & Spicy Blend with Grapefruit, Cardamom, Ginger, Amber & Tobacco. 10–12hr longevity. Free delivery. Buy 1 Get 1 Free!",,,adult,,,,,,,,,https://www.amazon.in/dp/B0DW8NKM3H?th=1,,COMPLIANT WITH IFRA | 35% OIL CONCENTRATION | IMPORTED FRAGRANCE OIL,,,,adults,spray,citrus; floral; vanilla; woody,glass; metal,special-occasion; formal; everyday; casual,citrus; floral; woody; musky,liquid,woody; floral; musk; sweet,winter; summer; fall; spring,male; female,,,,,,g,,0.00,true,,,active
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/2Large_385f2cf8-2a6a-4bef-aa66-5092d9551fca.png?v=1786366271,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/3Large_5c764b5d-b427-42dc-911e-0edaa1079b6f.png?v=1786366271,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/4Large_d5c5b7a8-9ec9-4eb7-beeb-87fdcd78b3fd.png?v=1786366271,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/5Large_6ab3acd2-ddc5-415a-85e2-676e80b745a3.png?v=1786366271,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/6Large_405efbf1-01eb-4660-8933-47d74fa214b6.png?v=1786366271,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/7Large_661326cc-e5cd-4877-9fa9-79b6427f0b0a.png?v=1786366271,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millennial-perfumer™-the-one-dollce-gaabbana-the-one-type-profile-match-extrait-de-parfum-fresh-citrus-spicy-blend-with-grapefruit-cardamom-ginger-amber-tobacco-long-lasting-warm-sophisticated-masculine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/8Large_f9238994-aa1e-4455-91db-366e84d20589.png?v=1786366271,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millennial-perfumer™-delina-ex-pdms-delina-exclusif-type-profile-match-extrait-de-parfum-fruity-floral-blend-with-litchi-turkish-rose-oud-vanilla-amber-long-lasting-elegant-sensual-feminine-fragrance-50ml,"Millennial Perfumer™ – Delina Ex. | PDM's Delina Exclusif Type (Profile Match) | Extrait de Parfum | Fruity Floral Blend with Litchi, Turkish Rose, Oud, Vanilla & Amber | Long-Lasting Elegant & Sensual Feminine Fragrance, 50ml","<p><meta charset=""utf-8""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0905/8068/0994/files/Screenshot_2024-10-13_at_12.38.48_PM.png?v=1728803344"" width=""573"" height=""114""><br><meta charset=""utf-8""></p>",Millennial Perfumer,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Fine Fragrance,Parfums De Maarley,true,Quantity,50ml,,,,,,,,F084,0.0,shopify,deny,manual,699.00,1299.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/1_3100ddea-3344-4d35-aaac-71ff62770bea.png?v=1786351011,1,"",false,Delina Ex — Parfums De Marrley Delina Exclusif  Type | EDP | Millennial Perfumer™ India,"Looking forParfums De Marrley Delina Exclusif Inspired Version in India? Shop Delina Ex — our premium EDP profile match. Fruity Floral Blend with Litchi, Turkish Rose, Oud, Vanilla & Amber. 10-12hr longevity. Free delivery. Buy 1 Get 1 Free!",,,adult,,,,,,,,,https://www.amazon.in/dp/B0DW8NKM3H?th=1,,COMPLIANT WITH IFRA | 35% OIL CONCENTRATION | IMPORTED FRAGRANCE OIL,,,,adults,spray,citrus; floral; vanilla; woody,glass; metal,special-occasion; formal; everyday; casual,citrus; floral; woody; musky,liquid,woody; floral; musk; sweet,winter; summer; fall; spring,male; female,,,,,,g,,0.00,true,,,active
millennial-perfumer™-delina-ex-pdms-delina-exclusif-type-profile-match-extrait-de-parfum-fruity-floral-blend-with-litchi-turkish-rose-oud-vanilla-amber-long-lasting-elegant-sensual-feminine-fragrance-50ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0905/8068/0994/files/2_801ff851-372f-4137-a5fb-8a64895ba1ac.png?v=1786351011,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
